Naam ;Adres;Nr.;Postcode;Plaats;Website;Rechtsvorm;"Ondernemings-
nummer";Discipline;"Leeftijds-
categorieën";"Adres(sen) van 
de activiteiten";"Geografische coördinaten 
van de activiteiten"
Al Firdaws;Leuvensesteenweg ;593;1030;Schaarbeek;;Vzw;0544.408.243;Zaalvoetbal;7-64;Sportcomplex;"50°52'10.8""N 4°24'22.0""O"
Al Firdaws;Leuvensesteenweg ;593;1030;Schaarbeek;;Vzw;0544.408.243;Zaalvoetbal;7-64;Zaal L'Aubier;"50°51'39.4""N 4°24'59.5""O"
Aqua club Evere;F. Guillaumelaan;53 bus 4;1140;Evere;;Vzw;0456.464.677;Zwemmen;+5;Triton;"50°52'04.1""N 4°24'27.2""O"
Ascades;H. Dunantlaan ;14 bus 16;1140;Evere;;Vzw;0895.854.782;Voetbal;7-15;Sportcomplex;"50°52'09.8""N 4°24'24.2""O"
Athénée royal d'Evere;C. Permekelaan ;2;1140;Evere;;Vzw;0850.025.450;Turnen;3-18;Sportcomplex;"50°52'10.8""N 4°24'22.0""O"
Atlas Academy Taekwondo;P. Van Obberghenstraat ;3 bus 2;1140;Evere;;Feitelijke vereniging;;Taekwondo;6-61;Sportcomplex;"50°52'10.8""N 4°24'22.0""O"
Avenir Evere BC;Marnedal;6;1140;Evere;www.avenirevere.be;Vzw;0860.853.620         ;Basketbal;11-99;Zaal L'Aubier;"50°51'39.4""N 4°24'59.5""O"
beltoy lutte;G. Van Leeuwlaan  ;27;1140;Evere;;Vzw;0889.183.756;Gevecht;7-35;Sportcomplex;"50°52'10.8""N 4°24'22.0""E"
Brussel Aquatic Synchro Swimming (BRASS);Kolonel Bourgstraat ;104 bus 12;1030;Schaarbeek;;Vzw;0874.738.674;Synchroonzwemmen;;Triton;"50°52'04.1""N 4°24'27.2""O"
Brussels Europe Fencing Forever;F. Guillaumelaan;31 bus 2;1140;Evere;www.escrime-bruxelles.be;Vzw;0811.101.726;Schermen;+4;Zaal L'Aubier;"50°51'39.4""N 4°24'59.5""O"
Brussels Handball Club;A. Vanden Bosschestraat ;79;1140;Evere;www.brussels-handball.be;Vzw;0875.359.969;Handbal;+14;Sportcomplex;"50°52'10.8""N 4°24'22.0""O"
Brussels Ironman NATO;Leopold III-laan;;1110;Brussel;www.binotan.be;Feitelijke vereniging;;Triatlon;+16;Sportcomplex;"50°52'09.8""N 4°24'24.2""O"
Brussels Tigers - American and Flag Football;Dokter Elie Lambottestraat;56;1030;Schaarbeek;www.brusselstigers.be;Vzw;0464.624.456;Amerikaans voetbal;4-60;Sportcomplex;"50°52'09.8""N 4°24'24.2""O"
B.S.A. ACADEMY FOOTBALL CLUB;Hubert Blauwetstraat ;10;1082;St Agatha Berchem;;Vzw;0649.840.513;voetbal;5-60;Sportcomplex;"50°52'10.8""N 4°24'22.0""E"
Club de Natation Les Dauphins;E. Degasstraat ;4 bus 2;1140;Evere;;Feitelijke vereniging;;Zwemmen;+6;Triton;"50°52'04.1""N 4°24'27.2""O"
Club Horizon;Oud-Strijderslaan ;350;1140;Evere;www.clubhorizon.be;Vzw;0463.708.597;Aikido;+8;White Star;"50°52'15.0""N 4°24'25.5""O"
Europese Commissie ;Wetstraat Berl. 1/400;200;1049;Brussel;;Vzw;0949.383.342;Voetbal;;Sportcomplex;"50°52'09.8""N 4°24'24.2""O"
CSA Germinal;Van Waeyenberghstraat;22;1140;Evere;;Feitelijke vereniging;;Voetbal;+18;Sportcomplex;"50°52'09.8""N 4°24'24.2""O"
Da Vinci Fighting;Haachtsesteenweg ;1133;1140;Evere;;Vzw;0649.707.978;Boks;+16;Haachtsesteenweg;"50°52'38.8""N 4°24'30.1""O"
De Gouden Pijl Evere;E. Stuckensstraat ;45;1140;Evere;;Vzw;0409.525.684;Boogschieten;13-77;Sportcomplex;"50°52'09.8""N 4°24'24.2""O"
Decathlon Belgium nv;J. Bordetlaan ;1;1140;Evere;www.decathlon.be;Naamloze vennootschap;0449.296.278;Multisport;;Sportcomplex;"50°52'09.8""N 4°24'24.2""O"
Dragon Club Academy;De Wautierstraat ;69;1020;Laken;;Vzw;0812.278.592;Taekwondo;+4;Everheide;"50°52'26.2""N 4°23'46.5""O"
Brussels United FC (Ecole des Jeunes - Etoile Bruxelles Capitale);Metsysstraat ;28;1030;Schaerbeek;www.brussels-united.club;Vzw;0716.672.325;voetbal;5-60;Sportcomplex;"50°52'09.8""N 4°24'24.2""E"
School La Source;Doolegtstraat ;6;1140;Evere;;School;;School;;Turnzaal;"50°52'41.3""N 4°23'47.8""O"
School L'Aubier;Kerkhof van Brussellaan ;50;1140;Evere;;School;;School;;Turnzaal;"50°51'38.8""N 4°24'56.1""O"
Etoile de Destrier;F. Guillaumelaan ;18 bus 4;1140;Evere;;Feitelijke vereniging;;Zaalvoetbal;16-40;Zaal L'Aubier;"50°51'39.4""N 4°24'59.5""O"
